app,impl,bitstream,msgs,blocks_per_msg,bytes,runs,warmup,cycles_med,cycles_q1,cycles_q3,cycles_min,cycles_max,instrs,core_instrs,balance,cycles_per_byte_med,git,date
chacha_poly,s1,combined,128,1,8192,30,5,56118,55558,57035,53646,59458,18304,9152:9152,1.0000,6.8504,v3.0-604-g56860fbc1,2026-09-04T13:37:34
chacha_poly,s1,combined,128,2,16384,30,5,77016,76117,78215,74741,81165,27968,13984:13984,1.0000,4.7007,v3.0-604-g56860fbc1,2026-09-04T13:37:34
chacha_poly,s1,combined,128,4,32768,30,5,118164,116307,119001,114724,125387,47296,23648:23648,1.0000,3.6061,v3.0-604-g56860fbc1,2026-09-04T13:37:34
chacha_poly,s1,combined,128,16,131072,30,5,349837,346536,351889,342102,361914,163264,81632:81632,1.0000,2.6690,v3.0-604-g56860fbc1,2026-09-04T13:37:34
chacha_poly,s1,combined,128,32,262144,30,5,673042,670145,679108,665516,693385,317888,158944:158944,1.0000,2.5675,v3.0-604-g56860fbc1,2026-09-04T13:37:34
chacha_poly,s1,combined,128,64,524288,30,5,1346350,1339651,1356838,1332661,1377350,627136,313568:313568,1.0000,2.5680,v3.0-604-g56860fbc1,2026-09-04T13:37:34
aes_gcm,hw_s1,combined,128,2,4096,30,5,38292,37939,38630,37533,39276,11786,5893:5893,1.0000,9.3486,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s1,combined,128,4,8192,30,5,49023,48527,49282,47579,52017,18250,9125:9125,1.0000,5.9843,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s1,combined,128,8,16384,30,5,71138,68956,73474,67884,75886,31178,15589:15589,1.0000,4.3419,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s1,combined,128,64,131072,30,5,372092,368477,379105,357186,389950,212170,106085:106085,1.0000,2.8388,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s1,combined,128,128,262144,30,5,749604,742412,756293,724994,767199,419018,209509:209509,1.0000,2.8595,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s1,combined,128,256,524288,30,5,1482461,1476351,1488637,1455780,1510220,832714,416357:416357,1.0000,2.8276,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s3g,combined,128,2,4096,30,5,24610,24368,24692,24164,24829,7362,3681:3681,1.0000,6.0083,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s3g,combined,128,4,8192,30,5,28291,28092,28500,26980,29055,10242,5121:5121,1.0000,3.4535,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s3g,combined,128,8,16384,30,5,36089,35937,36256,35662,36565,16002,8001:8001,1.0000,2.2027,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s3g,combined,128,64,131072,30,5,145501,145233,145854,144509,146682,96642,48321:48321,1.0000,1.1101,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s3g,combined,128,128,262144,30,5,282664,281091,283657,279043,284902,188802,94401:94401,1.0000,1.0783,v3.0-604-g56860fbc1,2026-09-04T13:41:16
aes_gcm,hw_s3g,combined,128,256,524288,30,5,554896,553738,555367,547256,557889,373122,186561:186561,1.0000,1.0584,v3.0-604-g56860fbc1,2026-09-04T13:41:16
chacha_poly,sg16,combined,128,1,8192,10,3,514208,507763,523422,503471,527343,293712,146856:146856,1.0000,62.7695,v3.0-607-ged33b42e5,2026-09-04T14:11:00
chacha_poly,sg16,combined,128,2,16384,10,3,528000,522367,532887,520750,537887,299984,149992:149992,1.0000,32.2266,v3.0-607-ged33b42e5,2026-09-04T14:11:00
chacha_poly,sg16,combined,128,4,32768,10,3,549142,545164,551168,538061,552878,312528,156264:156264,1.0000,16.7585,v3.0-607-ged33b42e5,2026-09-04T14:11:00
chacha_poly,sg16,combined,128,16,131072,10,3,687239,684353,690173,678589,692842,387792,193896:193896,1.0000,5.2432,v3.0-607-ged33b42e5,2026-09-04T14:11:00
chacha_poly,sg16,combined,128,32,262144,10,3,886578,882199,891082,875039,895307,488144,244072:244072,1.0000,3.3820,v3.0-607-ged33b42e5,2026-09-04T14:11:00
chacha_poly,sg16,combined,128,64,524288,10,3,1289343,1285678,1293390,1277892,1295660,688848,344424:344424,1.0000,2.4592,v3.0-607-ged33b42e5,2026-09-04T14:11:00
