app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,opts,extensions,log
aes_gcm,hw_s1,rtlsim,2,4,16,32,4,128,2048,50958,5236,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s1,rtlsim,2,4,16,32,4,128,2048,50958,5236,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s1,rtlsim,2,4,16,32,4,128,2048,50958,5236,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci5.log
aes_gcm,hw_s1,rtlsim,2,4,16,32,4,128,2048,50958,5236,-n32 -b4 -i1,AUTH AUTH_POLY AUTH_POLY_SG4 AUTH_S2 AUTH_SG4 SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci6.log
aes_gcm,hw_s1,rtlsim,1,4,4,64,4,256,4096,90808,34575,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s1,rtlsim,1,4,4,64,4,256,5120,132320,49359,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s1,rtlsim,1,4,4,64,4,256,4096,91380,34575,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s1,rtlsim,1,4,4,64,4,256,5120,134312,49359,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM SYM_S2 SYM_SG4,archive-2026-08/ci2.log
aes_gcm,hw_s1,rtlsim,1,4,4,64,4,256,4096,90808,34575,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
aes_gcm,hw_s1,rtlsim,1,4,4,64,4,256,5120,132320,49359,-n32 -b4 -i1,AUTH AUTH_S2 AUTH_SG4 SYM_CHACHA SYM SYM_S2 SYM_SG4,archive-2026-08/ci3.log
