app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,core_instrs,opts,extensions,git,configs,log
chacha_poly,s1,rtlsim,2,4,16,128,1,128,8192,164133,18304,9152:9152,-b1 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b1_i7_n128-20260831-184250.log
chacha_poly,s1,rtlsim,2,4,16,128,2,256,16384,225518,27968,13984:13984,-b2 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b2_i7_n128-20260831-184408.log
chacha_poly,s1,rtlsim,2,4,16,128,4,512,32768,346388,47296,23648:23648,-b4 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b4_i7_n128-20260831-184414.log
chacha_poly,s1,rtlsim,2,4,16,128,16,2048,131072,1004207,163264,81632:81632,-b16 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b16_i7_n128-20260831-184424.log
chacha_poly,s1,rtlsim,2,4,16,128,32,4096,262144,1942184,317888,158944:158944,-b32 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b32_i7_n128-20260831-184453.log
chacha_poly,s1,rtlsim,2,4,16,128,64,8192,524288,3929906,627136,313568:313568,-b64 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b64_i7_n128-20260831-184548.log
chacha_poly,sg16,rtlsim,2,4,16,128,1,128,8192,1102877,293472,146736:146736,-b1 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b1_i12_n128-20260831-184739.log
chacha_poly,sg16,rtlsim,2,4,16,128,2,256,16384,1119167,299744,149872:149872,-b2 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b2_i12_n128-20260831-184809.log
chacha_poly,sg16,rtlsim,2,4,16,128,4,512,32768,1124540,312288,156144:156144,-b4 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b4_i12_n128-20260831-184839.log
chacha_poly,sg16,rtlsim,2,4,16,128,16,2048,131072,1253375,387552,193776:193776,-b16 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 AUTH_SG4 SYM SYM_CHACHA SYM_CHACHA_SG16 SYM_SG4,bbcda4761,-DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_SYM_SG4_ENABLE -DVX_CFG_EXT_AUTH_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b16_i12_n128-20260831-184910.log
