app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,core_instrs,opts,extensions,git,configs,log
chacha_poly,s2,rtlsim,2,4,16,128,1,128,8192,105141,7048,3524:3524,-b1 -i10 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b1_i10_n128-20260902-102139.log
chacha_poly,s2,rtlsim,2,4,16,128,2,256,16384,115813,10744,5372:5372,-b2 -i10 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b2_i10_n128-20260902-102154.log
chacha_poly,s2,rtlsim,2,4,16,128,4,512,32768,139837,18136,9068:9068,-b4 -i10 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b4_i10_n128-20260902-102157.log
chacha_poly,s2,rtlsim,2,4,16,128,16,2048,131072,272943,62488,31244:31244,-b16 -i10 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b16_i10_n128-20260902-102200.log
chacha_poly,s2,rtlsim,2,4,16,128,32,4096,262144,513472,121624,60812:60812,-b32 -i10 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b32_i10_n128-20260902-102207.log
chacha_poly,s2,rtlsim,2,4,16,128,64,8192,524288,984312,239896,119948:119948,-b64 -i10 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b64_i10_n128-20260902-102218.log
chacha_poly,s2_noauth,rtlsim,2,4,16,128,1,128,8192,51658,2120,1060:1060,-b1 -i13 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b1_i13_n128-20260902-102241.log
chacha_poly,s2_noauth,rtlsim,2,4,16,128,2,256,16384,65059,2760,1380:1380,-b2 -i13 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b2_i13_n128-20260902-102242.log
chacha_poly,s2_noauth,rtlsim,2,4,16,128,4,512,32768,88211,4040,2020:2020,-b4 -i13 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b4_i13_n128-20260902-102244.log
chacha_poly,s2_noauth,rtlsim,2,4,16,128,16,2048,131072,226164,11720,5860:5860,-b16 -i13 -n128,AUTH AUTH_POLY AUTH_POLY_SG4 SYM SYM_CHACHA SYM_CHACHA_S2 SYM_CHACHA_SG4,24ff672d3,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_SG4_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_S2_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG4_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b16_i13_n128-20260902-102246.log
