app,impl,driver,cores,warps,threads,msgs,blocks_per_msg,blocks,bytes,cycles,instrs,core_instrs,opts,extensions,git,configs,log
chacha_poly,s1,rtlsim,2,4,16,128,1,128,8192,162093,18304,9152:9152,-b1 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b1_i7_n128-20260831-195409.log
chacha_poly,s1,rtlsim,2,4,16,128,2,256,16384,220834,27968,13984:13984,-b2 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b2_i7_n128-20260831-195426.log
chacha_poly,s1,rtlsim,2,4,16,128,4,512,32768,346943,47296,23648:23648,-b4 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b4_i7_n128-20260831-195431.log
chacha_poly,s1,rtlsim,2,4,16,128,16,2048,131072,986754,163264,81632:81632,-b16 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b16_i7_n128-20260831-195439.log
chacha_poly,s1,rtlsim,2,4,16,128,32,4096,262144,1932929,317888,158944:158944,-b32 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b32_i7_n128-20260831-195500.log
chacha_poly,s1,rtlsim,2,4,16,128,64,8192,524288,3929541,627136,313568:313568,-b64 -i7 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b64_i7_n128-20260831-195542.log
chacha_poly,sg16,rtlsim,2,4,16,128,1,128,8192,1131033,293712,146856:146856,-b1 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b1_i12_n128-20260831-195705.log
chacha_poly,sg16,rtlsim,2,4,16,128,2,256,16384,1146009,299984,149992:149992,-b2 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b2_i12_n128-20260831-195730.log
chacha_poly,sg16,rtlsim,2,4,16,128,4,512,32768,1151110,312528,156264:156264,-b4 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b4_i12_n128-20260831-195754.log
chacha_poly,sg16,rtlsim,2,4,16,128,16,2048,131072,1282695,387792,193896:193896,-b16 -i12 -n128,AUTH AUTH_POLY AUTH_POLY_STEP16 SYM SYM_CHACHA SYM_CHACHA_SG16,bda9db272,-DVX_CFG_EXT_AUTH_ENABLE -DVX_CFG_EXT_AUTH_POLY_ENABLE -DVX_CFG_EXT_AUTH_POLY_STEP16_ENABLE -DVX_CFG_EXT_SYM_CHACHA_ENABLE -DVX_CFG_EXT_SYM_CHACHA_SG16_ENABLE -DVX_CFG_EXT_SYM_ENABLE -DVX_CFG_NUM_CORES=2 -DVX_CFG_NUM_WARPS=4 -DVX_CFG_NUM_THREADS=16,logs/chacha_poly-rtlsim-_b16_i12_n128-20260831-195819.log
